month   interest  remaining      price
   81    1538.31  215874.60  368048.28
   82    1533.53  218563.49  366897.71
   83    1528.74  221252.39  365742.34
   84    1523.93  223941.31  364582.15
   85    1519.09  226630.26  363417.14
   86    1514.24  229319.22  362247.26
   87    1509.36  232008.21  361072.52
   88    1504.47  234697.21  359892.88
   89    1499.55  237386.24  358708.32
   90    1494.62  240075.28  357518.83
   91    1489.66  242764.35  356324.38
   92    1484.68  245453.44  355124.96
   93    1479.69  248142.54  353920.53
   94    1474.67  250831.67  352711.09
   95    1469.63  253520.82  351496.61
   96    1464.57  256209.99  350277.07
   97    1459.49  258899.18  349052.45
   98    1454.39  261588.39  347822.72
   99    1449.26  264277.63  346587.88
  100    1444.12  266966.88  345347.88
  101    1438.95  269656.16  344102.72
  102    1433.76  272345.46  342852.37
  103    1428.55  275034.78  341596.81
  104    1423.32  277724.12  340336.02
  105    1418.07  280413.48  339069.98
  106    1412.79  283102.87  337798.66
  107    1407.49  285792.28  336522.05
  108    1402.18  288481.70  335240.11
  109    1396.83  291171.16  333952.84
  110    1391.47  293860.63  332660.20
  111    1386.08  296550.13  331362.17
  112    1380.68  299239.64  330058.74
  113    1375.24  301929.19  328749.87
  114    1369.79  304618.75  327435.55
  115    1364.31  307308.34  326115.76
  116    1358.82  309997.94  324790.46
  117    1353.29  312687.58  323459.65
  118    1347.75  315377.23  322123.28
  119    1342.18  318066.91  320781.35
  120    1336.59  320756.61  319433.83
  121    1330.97  323446.34  318080.70
  122    1325.34  326136.08  316721.92
  123    1319.67  328825.86  315357.49
  124    1313.99  331515.65  313987.37
  125    1308.28  334205.47  312611.54
  126    1302.55  336895.31  311229.98
  127    1296.79  339585.18  309842.66
  128    1291.01  342275.07  308449.56
  129    1285.21  344964.98  307050.66
  130    1279.38  347654.92  305645.92
  131    1273.52  350344.89  304235.34
  132    1267.65  353034.87  302818.88
  133    1261.75  355724.88  301396.51
  134    1255.82  358414.92  299968.22
  135    1249.87  361104.98  298533.98
  136    1243.89  363795.07  297093.76
  137    1237.89  366485.18  295647.54
  138    1231.86  369175.32  294195.29
  139    1225.81  371865.48  292737.00
  140    1219.74  374555.66  291272.63
  141    1213.64  377245.87  289802.15
  142    1207.51  379936.11  288325.55
  143    1201.36  382626.37  286842.80
  144    1195.18  385316.66  285353.87
  145    1188.97  388006.98  283858.73
  146    1182.74  390697.32  282357.36
  147    1176.49  393387.68  280849.74
  148    1170.21  396078.07  279335.84
  149    1163.90  398768.49  277815.63
  150    1157.57  401458.93  276289.08
  151    1151.20  404149.41  274756.18
  152    1144.82  406839.90  273216.89
  153    1138.40  409530.43  271671.18
  154    1131.96  412220.98  270119.03
  155    1125.50  414911.55  268560.42
  156    1119.00  417602.16  266995.31
  157    1112.48  420292.79  265423.68
  158    1105.93  422983.45  263845.50
  159    1099.36  425674.13  262260.75
  160    1092.75  428364.85  260669.39
  161    1086.12  431055.59  259071.41
  162    1079.46  433746.36  257466.76
  163    1072.78  436437.15  255855.43
  164    1066.06  439127.98  254237.38
  165    1059.32  441818.83  252612.59
  166    1052.55  444509.71  250981.04
  167    1045.75  447200.62  249342.68
  168    1038.93  449891.55  247697.50
  169    1032.07  452582.52  246045.46
  170    1025.19  455273.51  244386.54
  171    1018.28  457964.53  242720.71
  172    1011.34  460655.58  241047.94
  173    1004.37  463346.66  239368.19
  174     997.37  466037.77  237681.45
  175     990.34  468728.91  235987.68
  176     983.28  471420.08  234286.85
  177     976.20  474111.27  232578.94
  178     969.08  476802.50  230863.90
  179     961.93  479493.76  229141.73
  180     954.76  482185.04  227412.37
  181     947.55  484876.36  225675.82
  182     940.32  487567.70  223932.02
  183     933.05  490259.08  222180.96
  184     925.75  492950.49  220422.61
  185     918.43  495641.92  218656.92
  186     911.07  498333.39  216883.88
  187     903.68  501024.89  215103.46
  188     896.26  503716.42  213315.61
  189     888.82  506407.97  211520.32
  190     881.33  509099.57  209717.54
  191     873.82  511791.19  207907.25
  192     866.28  514482.84  206089.42
  193     858.71  517174.52  204264.02
  194     851.10  519866.24  202431.01
  195     843.46  522557.99  200590.36
  196     835.79  525249.77  198742.05
  197     828.09  527941.58  196886.03
  198     820.36  530633.42  195022.28
  199     812.59  533325.30  193150.76
  200     804.79  536017.21  191271.44
  201     796.96  538709.15  189384.30
  202     789.10  541401.12  187489.29
  203     781.21  544093.12  185586.39
  204     773.28  546785.16  183675.55
  205     765.31  549477.24  181756.76
  206     757.32  552169.34  179829.97
  207     749.29  554861.48  177895.15
  208     741.23  557553.65  175952.27
  209     733.13  560245.86  174001.29
  210     725.01  562938.09  172042.19
  211     716.84  565630.37  170074.92
  212     708.65  568322.67  168099.46
  213     700.41  571015.02  166115.76
  214     692.15  573707.39  164123.80
  215     683.85  576399.80  162123.54
  216     675.51  579092.25  160114.94
  217     667.15  581784.72  158097.98
  218     658.74  584477.24  156072.61
  219     650.30  587169.79  154038.80
  220     641.83  589862.37  151996.52
  221     633.32  592554.99  149945.73
  222     624.77  595247.65  147886.39
  223     616.19  597940.34  145818.48
  224     607.58  600633.06  143741.94
  225     598.92  603325.83  141656.76
  226     590.24  606018.62  139562.89
  227     581.51  608711.46  137460.29
  228     572.75  611404.33  135348.93
  229     563.95  614097.24  133228.77
  230     555.12  616790.18  131099.78
  231     546.25  619483.16  128961.92
  232     537.34  622176.18  126815.15
  233     528.40  624869.23  124659.44
  234     519.41  627562.33  122494.74
  235     510.39  630255.46  120321.03
  236     501.34  632948.62  118138.26
  237     492.24  635641.83  115946.39
  238     483.11  638335.07  113745.39
  239     473.94  641028.35  111535.22
  240     464.73  643721.67  109315.84
  241     455.48  646415.03  107087.21
  242     446.20  649108.42  104849.30
  243     436.87  651801.86  102602.06
  244     427.51  654495.33  100345.46
  245     418.11  657188.84   98079.45
  246     408.66  659882.40   95804.01
  247     399.18  662575.99   93519.08
  248     389.66  665269.62   91224.63
  249     380.10  667963.29   88920.63
  250     370.50  670657.00   86607.02
  251     360.86  673350.75   84283.77
  252     351.18  676044.54   81950.84
  253     341.46  678738.37   79608.20
  254     331.70  681432.24   77255.79
  255     321.90  684126.15   74893.58
  256     312.06  686820.10   72521.52
  257     302.17  689514.10   70139.59
  258     292.25  692208.13   67747.72
  259     282.28  694902.21   65345.90
  260     272.27  697596.33   62934.06
  261     262.23  700290.48   60512.18
  262     252.13  702984.69   58080.20
  263     242.00  705678.93   55638.09
  264     231.83  708373.21   53185.81
  265     221.61  711067.54   50723.30
  266     211.35  713761.91   48250.54
  267     201.04  716456.33   45767.48
  268     190.70  719150.78   43274.06
  269     180.31  721845.28   40770.26
  270     169.88  724539.82   38256.03
  271     159.40  727234.41   35731.32
  272     148.88  729929.04   33196.09
  273     138.32  732623.71   30650.30
  274     127.71  735318.43   28093.90
  275     117.06  738013.19   25526.84
  276     106.36  740708.00   22949.09
  277      95.62  743402.85   20360.61
  278      84.84  746097.74   17761.33
  279      74.01  748792.68   15151.23
  280      63.13  751487.67   12530.25
  281      52.21  754182.70    9898.35
  282      41.24  756877.78    7255.48
  283      30.23  759572.90    4601.60
  284      19.17  762268.07    1936.66
  285       8.07  764963.28    -739.38
